country,date,GDP,HouseholdsExpenditurePerecent,FDIInflows,Gov,Exports,Imports
Germany,2001,1944107382550.34,56.4640466918906,2.92928996093834,18.9489261417511,31.8447071170151,30.2181317720272
Germany,2000,1943145384190.16,56.2992570255418,12.7631930755001,19.0445168295331,30.8477115722895,30.678349430323
Germany,1999,2194204133816.32,56.1972439644959,3.92104197349994,19.2467030512557,26.9592324276031,26.4066172043428
Germany,1998,2238990774702.68,55.6525451494723,1.31874189081361,19.0981523217601,26.4069062062529,25.1780661431082
Germany,1997,2211989623279.95,56.1917242434286,0.842609915413792,19.3548683170589,25.3602733090279,24.282385335135
Germany,1996,2497244606186.64,56.3107245833724,0.624360056288723,19.7125503544328,22.8600276884323,22.1455932715028
Germany,1995,2585792275146.72,55.8422577733676,0.465679526092558,19.4241558948807,21.9942362808177,21.5873979341395
Germany,1994,2205074123177.05,56.1919597715285,0.340906850799452,19.3140389713317,21.1107102839496,20.9471728020552
Germany,1993,2071323790370.28,56.6595274403304,0.023164615377059,19.3518153624728,20.3134405930698,20.2632946672835
Germany,1992,2131571696931.75,56.020293056649,-0.10028883558063,19.2211202895315,22.1946934890662,22.6961446717507
Germany,1991,1868945197407.19,56.0382772102409,0.253701121901446,18.6769453903393,23.6649009963425,24.1524782444192
Germany,1990,1771671207359.88,56.3462979817416,0.144310232902723,19.1003185946307,22.8358365530048,23.0277510459527
Denmark,2017,329417067127.816,46.5315762111434,1.02511761045327,24.6230845414508,55.1388663944531,48.1422353799985
Denmark,2016,313115929314.339,46.6729604524201,2.49237426030716,24.8685063718639,53.4259804750415,46.7428483571839
Denmark,2015,302673068765.972,47.1114659951043,0.611475187537009,25.4691996035446,55.4181749794426,48.6300543390148
Denmark,2014,352993631617.708,47.1609622239686,1.86330528301876,25.7856520441613,54.6131396383028,47.6507772087923
Denmark,2013,343584391647.927,47.6942057030254,0.198012180552081,26.0074876343271,54.8288189867113,48.2213220971567
Denmark,2012,327148943812.137,48.0421316691479,-4.99767032555428,26.4714555321051,54.6304940173438,48.610476322948
Denmark,2011,344003137611.271,47.9138831454315,3.94150318758658,26.5646659565541,53.8201489280677,47.4256465609762
Denmark,2010,321995279401.502,47.612230592128,-3.65466908301772,27.365847979969,50.5229276395878,43.5770492484191
Denmark,2009,321241303699.006,48.4795542515223,1.17390242059711,27.9349997229178,47.1260734604538,42.6289658299793
Denmark,2008,353361038818.383,47.3916536886351,0.620106753447922,25.1008900558313,54.1757974140397,50.6524324898078
Denmark,2007,319423424509.066,47.4869862718368,3.69711411627472,24.337963243396,51.4825350512378,48.5853161257883
Denmark,2006,282884947702.966,47.4048131009497,0.84318706518409,24.2035383887553,50.7300470194145,46.6366891837203
Denmark,2005,264467336457.17,47.7903693074061,4.857700582033,24.4986889118824,47.452125515225,41.9476153409526
Denmark,2004,251373002954.382,47.7256680045929,-3.50243080506856,24.9339005994338,43.9284349569116,38.2793303141397
Denmark,2003,218096033517.009,47.2451370217714,0.543258463167203,25.0380242581172,43.8384088674947,37.0432985323193
Denmark,2002,178635163717.431,46.9359078735438,2.48030851638993,24.8690541949282,45.7044791859005,38.852495620333
Denmark,2001,164791442543.375,46.709466548455,5.63524699016127,24.3249117385811,45.5544939498925,38.4140819246082
Denmark,2000,164158739097.623,47.0640840114383,21.9380936434814,23.8737646063848,44.8472655641397,38.1366854891628
Denmark,1999,177965188354.692,48.7465762020004,9.46697462674685,24.3659908004743,39.3484366798101,33.3487612672171
Denmark,1998,176991934992.837,50.1417265289726,3.77116701349912,24.1291225249093,37.1865605187066,34.1125582027396
Denmark,1997,173537647058.824,49.9415767533891,1.60868342201278,23.6392168601488,37.7628610500949,33.4056013518683
Denmark,1996,187632346387.984,50.1673959419966,0.412212569270951,24.1054046096333,37.0673836258126,31.4038823862481
Denmark,1995,185006881515.065,50.5521957396614,2.23744289173865,24.0520725870819,36.6119570369652,31.9026457360928
Denmark,1994,156162386724.523,50.9380873208042,3.20575169671378,24.4041854603846,36.8518613185549,30.9285944300639
Denmark,1993,143195627014.605,49.7935902079426,1.19610229283985,25.3010539018846,36.5662129713497,29.0387156246129
Denmark,1992,152915654478.885,49.9905951607578,0.665324523329376,24.1630384829775,36.954383329291,30.0475864194251
Denmark,1991,139224688814.195,49.9218259013438,1.11511497286159,24.2481269921423,37.6824771133025,31.4640499499814
Denmark,1990,138247285815.855,49.7388871693531,0.81892844642037,23.906614103196,36.4231554732849,30.8670401590342
Spain,2017,1309309642308.24,58.3735125374609,1.90776839990759,18.6191665562133,35.1783922236242,31.5991868337295
Spain,2016,1232076017361.53,58.2009085685556,3.59177021418208,19.0582130288013,33.8800904977376,29.8925339366516
Spain,2015,1195119269971.52,58.4837461372136,1.92759596471091,19.4795794318804,33.6265184346551,30.586122736848
Spain,2014,1369398844599.58,59.3621325417233,2.40567289745613,19.6363347471996,33.4825675913959,30.3830421311466
Spain,2013,1354757433212.72,58.9747811530968,3.49680634167963,19.880668164195,32.9625774735678,29.033721828239
Spain,2012,1324820091194.67,59.5222185260581,1.57368379556953,19.9769372291119,31.45527248111,29.390097362135
Spain,2011,1478772824224.03,58.4796613531397,1.81447968715079,20.6717097699394,29.5349622049272,29.2582088303504
Spain,2010,1420722034063.0,58.0889132094538,2.5768123129475,20.6329023062173,25.9516793464024,26.9765612109155
Spain,2009,1485583495415.39,56.928449121547,0.642832486133276,20.6396944608879,23.0616941747255,23.933180152302
Spain,2008,1625224842536.99,57.4578136364497,4.55866954148651,18.8230989210854,25.6239291743162,30.3594008693685
Spain,2007,1472131125102.66,57.6302672427499,4.63475472746274,17.7056341053184,25.984738814678,31.7628649449253
Spain,2006,1259343871534.31,57.7688496876441,2.61468231232965,17.3603314528557,25.2413025005404,30.9358323130671
Spain,2005,1153285660987.44,58.0849661996405,2.34181137917211,17.3316209399401,24.9792690409411,29.783028542406
Spain,2004,1067093369754.16,58.2459214578846,2.36794580181851,17.1689140681632,25.4119848226223,29.1121978690701
Spain,2003,905492099322.799,57.9258001710156,3.39538088887296,16.7766052655852,25.6289061234055,27.834782977217
Spain,2002,705394315829.098,58.6826531047879,5.57981651835264,16.6243302666126,26.553994919632,28.5451843234359
Spain,2001,627286800894.855,59.2702066925062,4.60864423581495,16.5446730566496,27.8616191602484,30.1355363035009
Spain,2000,596877648793.072,59.6174120283831,6.78694390221214,16.6978209495702,28.5633579326111,31.5189758138831
Spain,1999,634693160025.57,59.6052192042275,3.09260842500063,16.7905217693458,26.3515090067028,28.2849579418622
Spain,1998,619214834614.099,59.6726937209641,2.53783621300102,16.8577661948981,26.101947326675,26.5595070441534
Spain,1997,590077272727.273,60.2089864963757,1.59871604967868,17.0066324133203,25.6697890106843,25.4964681051018
Spain,1996,642588992512.807,60.4667183153006,1.52529522405733,17.4872190072424,23.0323607990957,23.2128584657085
Spain,1995,614609020549.773,60.9885624462643,1.34745945271764,17.6137893301606,21.8270992731031,22.9482748139335
Spain,1994,530562634952.18,61.6762846685614,1.65345758614612,17.7618715678073,20.3111353908915,21.3333433502832
Spain,1993,525075636161.59,61.8853923670606,2.05840157651221,18.3451838855922,17.708887656009,19.2410064655519
Spain,1992,630916018690.07,61.9812116660067,2.10419813318007,17.8057219392902,16.1875490124679,19.7902931601058
Spain,1991,577166174219.375,61.3110498568762,2.16450363632502,16.9209406647558,15.7607198512747,19.7178214455245
Spain,1990,536558591903.363,61.3939125939541,2.60616678644949,16.2488725661921,15.7247982291945,19.8859352058869
Finland,2017,254435041879.238,53.2152268751246,6.44449868298931,22.8079810439135,37.6840799875988,37.5693690900636
Finland,2016,240570297852.344,54.3327325228523,2.02674204294288,23.6624303397032,34.8158945025841,36.0936896507329
Finland,2015,234585368746.272,54.433234365249,7.17999959338754,24.369314850886,35.3850299740918,35.9533084967567
Finland,2014,274497230802.958,54.5213318704476,6.28188426228721,24.5073635673789,36.4814376235518,37.6312851322155
Finland,2013,271285280621.373,54.1833683272889,-1.82122196038823,24.5363912666833,38.0176291228019,39.0762574576279
Finland,2012,258304834621.605,54.0422907226033,1.90969837735607,24.0970567606958,38.8082790730065,40.3622218795545
Finland,2011,275243697751.011,53.1621531530622,-2.18285112555861,23.361347084314,38.900392933262,39.6791886786735
Finland,2010,249181190476.369,52.6301802352466,4.90664547840263,23.6862386588924,38.4143975593033,37.0500098329462
Finland,2009,252496526813.004,52.1455649886931,-3.49569749665515,24.0675224350333,36.0809256824047,34.0423775908268
Finland,2008,284553976856.599,49.3218026921988,6.81880352268714,21.5648727254009,44.9000077214115,41.2843281085116
Finland,2007,256052559540.104,48.5754148135477,8.58615363755679,20.7668705097503,43.8259066028053,39.0314958946288
Finland,2006,216907539831.891,49.8180997935187,2.13529391720616,21.3207863641359,43.0742002463895,38.909292815954
Finland,2005,204809103345.355,49.6371905493451,5.31022705078307,21.4115261071001,40.2733670538658,36.3058407767462
Finland,2004,197116960516.514,49.379558825382,3.43515925859232,21.1844442484788,38.6153768628983,32.3448267173938
Finland,2003,171274266365.688,49.6537044725171,3.48187593074365,21.0966793850371,37.3208390170611,30.7349636570916
Finland,2002,139738377564.465,48.2530339560632,5.78293905570285,20.6275339089207,39.1350026265102,30.1644599490861
Finland,2001,129421029082.774,47.5523411787482,2.48972329443851,19.9256022346987,39.7640844096579,30.5127637801809
Finland,2000,125706651925.557,47.8005306283989,10.7388268968825,19.7373242843113,42.0310461588074,32.8637809472157
Finland,1999,135218410398.466,48.8441173689685,5.76700120285819,20.259856913234,37.6043997604715,28.6354754325696
Finland,1998,134038718291.055,49.088600029882,9.33679172029042,20.5745638062985,37.4387834719525,29.5283629662832
Finland,1997,126912152101.707,50.0952105913886,1.93368085598845,21.3118304800238,37.7773967348633,30.4439250227874
Finland,1996,132129174216.93,51.545311168363,0.569873751348834,22.159419296063,36.3194655329487,29.402544987902
Finland,1995,134189814814.815,50.9584064779957,1.0810883434825,21.8946919806391,35.7649494160265,28.3087601091843
Finland,1994,103299943084.804,52.5559510297634,0.268964373790316,22.3969410131241,34.0356367563279,28.3925993674861
Finland,1993,89214114708.0254,53.8712838941522,0.967925393581486,23.3012087553087,31.3809679376488,26.7839641573715
Finland,1992,112532519246.084,54.0138236889906,0.352226819740319,24.2704819419216,25.5443372413956,24.6974593663749
