"TIME","GEO","SIEC","PLANT_TEC","UNIT","Value"
"1995","Luxembourg","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Hungary","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Malta","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Netherlands","Wind","Net maximum electrical capacity","Megawatt","250.000"
"1995","Austria","Wind","Net maximum electrical capacity","Megawatt","1.000"
"1995","Poland","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Portugal","Wind","Net maximum electrical capacity","Megawatt","8.000"
"1995","Romania","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Slovenia","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Slovakia","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Finland","Wind","Net maximum electrical capacity","Megawatt","6.000"
"1995","Sweden","Wind","Net maximum electrical capacity","Megawatt","67.000"
"1995","United Kingdom","Wind","Net maximum electrical capacity","Megawatt","200.000"
"1995","Iceland","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Norway","Wind","Net maximum electrical capacity","Megawatt","3.000"
"1995","Montenegro","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","North Macedonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Albania","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Serbia","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Turkey","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Bosnia and Herzegovina","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Kosovo (under United Nations Security Council Resolution 1244/99)","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Moldova","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Ukraine","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Georgia","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","European Union - 27 countries (from 2020)","Wind","Net maximum electrical capacity","Megawatt","3,115.721"
"1996","European Union - 28 countries (2013-2020)","Wind","Net maximum electrical capacity","Megawatt","3,353.721"
"1996","Euro area - 19 countries  (from 2015)","Wind","Net maximum electrical capacity","Megawatt","2,196.500"
"1996","Belgium","Wind","Net maximum electrical capacity","Megawatt","5.000"
"1996","Bulgaria","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Czechia","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Denmark","Wind","Net maximum electrical capacity","Megawatt","814.221"
"1996","Germany (until 1990 former territory of the FRG)","Wind","Net maximum electrical capacity","Megawatt","1,564.000"
"1996","Estonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Ireland","Wind","Net maximum electrical capacity","Megawatt","6.500"
"1996","Greece","Wind","Net maximum electrical capacity","Megawatt","27.000"
"1996","Spain","Wind","Net maximum electrical capacity","Megawatt","227.000"
"1996","France","Wind","Net maximum electrical capacity","Megawatt","6.000"
"1996","Croatia","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Italy","Wind","Net maximum electrical capacity","Megawatt","34.000"
"1996","Cyprus","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Latvia","Wind","Net maximum electrical capacity","Megawatt","1.000"
"1996","Lithuania","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Luxembourg","Wind","Net maximum electrical capacity","Megawatt","2.000"
"1996","Hungary","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Malta","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Netherlands","Wind","Net maximum electrical capacity","Megawatt","296.000"
"1996","Austria","Wind","Net maximum electrical capacity","Megawatt","3.000"
"1996","Poland","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Portugal","Wind","Net maximum electrical capacity","Megawatt","18.000"
"1996","Romania","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Slovenia","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Slovakia","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Finland","Wind","Net maximum electrical capacity","Megawatt","7.000"
"1996","Sweden","Wind","Net maximum electrical capacity","Megawatt","105.000"
"1996","United Kingdom","Wind","Net maximum electrical capacity","Megawatt","238.000"
"1996","Iceland","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Norway","Wind","Net maximum electrical capacity","Megawatt","4.000"
"1996","Montenegro","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","North Macedonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Albania","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Serbia","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Turkey","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Bosnia and Herzegovina","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Kosovo (under United Nations Security Council Resolution 1244/99)","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Moldova","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Ukraine","Wind","Net maximum electrical capacity","Megawatt",":"
"1996","Georgia","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","European Union - 27 countries (from 2020)","Wind","Net maximum electrical capacity","Megawatt","4,233.547"
"1997","European Union - 28 countries (2013-2020)","Wind","Net maximum electrical capacity","Megawatt","4,555.547"
"1997","Euro area - 19 countries  (from 2015)","Wind","Net maximum electrical capacity","Megawatt","2,987.200"
"1997","Belgium","Wind","Net maximum electrical capacity","Megawatt","5.000"
"1997","Bulgaria","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Czechia","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Denmark","Wind","Net maximum electrical capacity","Megawatt","1,123.347"
"1997","Germany (until 1990 former territory of the FRG)","Wind","Net maximum electrical capacity","Megawatt","1,966.000"
"1997","Estonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Ireland","Wind","Net maximum electrical capacity","Megawatt","57.200"
"1997","Greece","Wind","Net maximum electrical capacity","Megawatt","27.000"
"1997","Spain","Wind","Net maximum electrical capacity","Megawatt","420.000"
"1997","France","Wind","Net maximum electrical capacity","Megawatt","7.000"
"1997","Croatia","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Italy","Wind","Net maximum electrical capacity","Megawatt","119.000"
"1997","Cyprus","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Latvia","Wind","Net maximum electrical capacity","Megawatt","1.000"
"1997","Lithuania","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Luxembourg","Wind","Net maximum electrical capacity","Megawatt","4.000"
"1997","Hungary","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Malta","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Netherlands","Wind","Net maximum electrical capacity","Megawatt","325.000"
"1997","Austria","Wind","Net maximum electrical capacity","Megawatt","15.000"
"1997","Poland","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Portugal","Wind","Net maximum electrical capacity","Megawatt","29.000"
"1997","Romania","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Slovenia","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Slovakia","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Finland","Wind","Net maximum electrical capacity","Megawatt","12.000"
"1997","Sweden","Wind","Net maximum electrical capacity","Megawatt","123.000"
"1997","United Kingdom","Wind","Net maximum electrical capacity","Megawatt","322.000"
"1997","Iceland","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Norway","Wind","Net maximum electrical capacity","Megawatt","4.000"
"1997","Montenegro","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","North Macedonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Albania","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Serbia","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Turkey","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Bosnia and Herzegovina","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Kosovo (under United Nations Security Council Resolution 1244/99)","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Moldova","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Ukraine","Wind","Net maximum electrical capacity","Megawatt",":"
"1997","Georgia","Wind","Net maximum electrical capacity","Megawatt",":"
"1998","European Union - 27 countries (from 2020)","Wind","Net maximum electrical capacity","Megawatt","5,893.682"
"1998","European Union - 28 countries (2013-2020)","Wind","Net maximum electrical capacity","Megawatt","6,224.682"
"1998","Euro area - 19 countries  (from 2015)","Wind","Net maximum electrical capacity","Megawatt","4,279.200"
"1998","Belgium","Wind","Net maximum electrical capacity","Megawatt","6.000"
"1998","Bulgaria","Wind","Net maximum electrical capacity","Megawatt",":"
"1998","Czechia","Wind","Net maximum electrical capacity","Megawatt",":"
"1998","Denmark","Wind","Net maximum electrical capacity","Megawatt","1,438.482"
"1998","Germany (until 1990 former territory of the FRG)","Wind","Net maximum electrical capacity","Megawatt","2,672.000"
"1998","Estonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1998","Ireland","Wind","Net maximum electrical capacity","Megawatt","62.200"
"1998","Greece","Wind","Net maximum electrical capacity","Megawatt","38.000"
"1998","Spain","Wind","Net maximum electrical capacity","Megawatt","848.000"
"1998","France","Wind","Net maximum electrical capacity","Megawatt","15.000"
"1998","Croatia","Wind","Net maximum electrical capacity","Megawatt",":"
"1998","Italy","Wind","Net maximum electrical capacity","Megawatt","164.000"
"1998","Cyprus","Wind","Net maximum electrical capacity","Megawatt",":"
"1998","Latvia","Wind","Net maximum electrical capacity","Megawatt","1.000"
"1998","Lithuania","Wind","Net maximum electrical capacity","Megawatt",":"
"1998","Luxembourg","Wind","Net maximum electrical capacity","Megawatt","10.000"
"1998","Hungary","Wind","Net maximum electrical capacity","Megawatt",":"
"1998","Malta","Wind","Net maximum electrical capacity","Megawatt",":"
"1998","Netherlands","Wind","Net maximum electrical capacity","Megawatt","364.000"
"1998","Austria","Wind","Net maximum electrical capacity","Megawatt","34.000"
"1998","Poland","Wind","Net maximum electrical capacity","Megawatt","2.000"
"1998","Portugal","Wind","Net maximum electrical capacity","Megawatt","48.000"
"1998","Romania","Wind","Net maximum electrical capacity","Megawatt",":"
"1998","Slovenia","Wind","Net maximum electrical capacity","Megawatt",":"
"1998","Slovakia","Wind","Net maximum electrical capacity","Megawatt",":"
"1998","Finland","Wind","Net maximum electrical capacity","Megawatt","17.000"
"1998","Sweden","Wind","Net maximum electrical capacity","Megawatt","174.000"
"1998","United Kingdom","Wind","Net maximum electrical capacity","Megawatt","331.000"
"1998","Iceland","Wind","Net maximum electrical capacity","Megawatt",":"
